epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.997,1.10552,0.8756,1.07698,0.97323,0.95637,0.9797,0.66161,1.162,0.5271,1.06046,0.00333144,0.00333144,0.00333144
2,949.016,1.13976,0.6332,1.09562,0.97635,0.96589,0.98363,0.68414,1.11179,0.5155,1.05561,0.0066546,0.0066546,0.0066546
3,1403.05,1.1226,0.61519,1.09143,0.97301,0.96385,0.98356,0.67791,1.14393,0.51567,1.0747,0.00993717,0.00993717,0.00993717
4,1862.79,1.10947,0.59713,1.08739,0.97751,0.96412,0.98773,0.70157,1.09977,0.47726,1.05166,0.00986323,0.00986323,0.00986323
5,2314.79,1.0629,0.55251,1.06361,0.98467,0.97112,0.99071,0.71911,1.06205,0.43612,1.03255,0.00975773,0.00975773,0.00975773
6,2768.65,1.03411,0.52589,1.05158,0.98434,0.97508,0.99206,0.7277,1.04757,0.41891,1.01834,0.0096232,0.0096232,0.0096232
7,3227.54,1.01896,0.51043,1.0397,0.98323,0.9796,0.99279,0.73693,1.04199,0.4002,1.01708,0.00946048,0.00946048,0.00946048
8,3676.92,1.00023,0.49509,1.03415,0.98688,0.97667,0.99311,0.73669,1.03184,0.38983,1.01388,0.00927057,0.00927057,0.00927057
9,4141.93,0.98593,0.48487,1.02552,0.98588,0.97812,0.99271,0.74165,1.02282,0.38052,1.0113,0.00905463,0.00905463,0.00905463
10,4602.43,0.9797,0.47919,1.02308,0.98681,0.97932,0.99333,0.74611,1.01775,0.37409,1.00589,0.00881401,0.00881401,0.00881401
11,5066.82,0.9707,0.46958,1.02029,0.98644,0.98129,0.99322,0.75054,1.00486,0.36657,0.99813,0.00855018,0.00855018,0.00855018
12,5523.69,0.9624,0.4645,1.01621,0.98814,0.98253,0.99367,0.75371,1.00269,0.36104,0.99794,0.00826477,0.00826477,0.00826477
13,5980.15,0.95253,0.45716,1.01141,0.98861,0.98253,0.99341,0.75554,0.99675,0.35608,0.99545,0.00795954,0.00795954,0.00795954
14,6438.54,0.94873,0.45306,1.00903,0.98554,0.98394,0.99348,0.75723,0.99672,0.35362,0.99498,0.00763637,0.00763637,0.00763637
15,6895.59,0.94025,0.44554,1.00361,0.98591,0.98537,0.99368,0.7586,0.9937,0.35056,0.99236,0.00729725,0.00729725,0.00729725
